,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
9788,Greater Sydney,Middle Ring,Bayside,Flat/Unit,3 Bedrooms,850.0,133,1276,2018-03-31
9789,Greater Sydney,Middle Ring,Bayside,Flat/Unit,4 or more Bedrooms,,,41,2018-03-31
9797,Greater Sydney,Middle Ring,Burwood,House,Total,690.0,70,559,2018-03-31
9798,Greater Sydney,Middle Ring,Burwood,House,Bedsitter,,,,2018-03-31
9799,Greater Sydney,Middle Ring,Burwood,House,1 Bedroom,,,s,2018-03-31
9800,Greater Sydney,Middle Ring,Burwood,House,Not Specified,,,48,2018-03-31
9801,Greater Sydney,Middle Ring,Burwood,House,2 Bedrooms,530.0,s,88,2018-03-31
9802,Greater Sydney,Middle Ring,Burwood,House,3 Bedrooms,670.0,s,230,2018-03-31
9803,Greater Sydney,Middle Ring,Burwood,House,4 or more Bedrooms,865.0,s,177,2018-03-31
9804,Greater Sydney,Middle Ring,Burwood,Other,Total,500.0,68,935,2018-03-31
9805,Greater Sydney,Middle Ring,Burwood,Other,Bedsitter,,,,2018-03-31
9806,Greater Sydney,Middle Ring,Burwood,Other,1 Bedroom,305.0,s,92,2018-03-31
9807,Greater Sydney,Middle Ring,Burwood,Other,Not Specified,560.0,s,599,2018-03-31
9808,Greater Sydney,Middle Ring,Burwood,Other,2 Bedrooms,555.0,s,163,2018-03-31
9809,Greater Sydney,Middle Ring,Burwood,Other,3 Bedrooms,,,56,2018-03-31
9810,Greater Sydney,Middle Ring,Burwood,Other,4 or more Bedrooms,,,s,2018-03-31
9811,Greater Sydney,Middle Ring,Burwood,Townhouse,Total,640.0,s,206,2018-03-31
9812,Greater Sydney,Middle Ring,Burwood,Townhouse,1 Bedroom,,,,2018-03-31
9813,Greater Sydney,Middle Ring,Burwood,Townhouse,Not Specified,,,,2018-03-31
9814,Greater Sydney,Middle Ring,Burwood,Townhouse,2 Bedrooms,,,89,2018-03-31
9815,Greater Sydney,Middle Ring,Burwood,Townhouse,3 Bedrooms,,,79,2018-03-31
9816,Greater Sydney,Middle Ring,Burwood,Townhouse,4 or more Bedrooms,,,s,2018-03-31
9817,Greater Sydney,Middle Ring,Burwood,Flat/Unit,Total,560.0,380,2589,2018-03-31
9818,Greater Sydney,Middle Ring,Burwood,Flat/Unit,Bedsitter,320.0,s,99,2018-03-31
9819,Greater Sydney,Middle Ring,Burwood,Flat/Unit,1 Bedroom,450.0,83,441,2018-03-31
9820,Greater Sydney,Middle Ring,Burwood,Flat/Unit,Not Specified,510.0,s,155,2018-03-31
9821,Greater Sydney,Middle Ring,Burwood,Flat/Unit,2 Bedrooms,580.0,212,1605,2018-03-31
9822,Greater Sydney,Middle Ring,Burwood,Flat/Unit,3 Bedrooms,725.0,s,272,2018-03-31
