,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
173,Burwood,780.0,795.0,52.0,2018-06-30,Greater Sydney,Middle Ring,Other,510.0,47.0,901.0,Strata
174,Burwood,780.0,795.0,52.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,790.0,20.0,211.0,Strata
175,Burwood,780.0,795.0,52.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,550.0,297.0,2674.0,Strata
176,Canada Bay,2058.0,2138.0,88.0,2018-06-30,Greater Sydney,Middle Ring,House,777.5,190.0,1569.0,Non Strata
177,Canada Bay,923.0,1009.0,214.0,2018-06-30,Greater Sydney,Middle Ring,Other,560.0,58.0,977.0,Strata
178,Canada Bay,923.0,1009.0,214.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,720.0,74.0,899.0,Strata
179,Canada Bay,923.0,1009.0,214.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,597.5,854.0,7699.0,Strata
180,Canterbury-Bankstown,985.0,1023.0,491.0,2018-06-30,Greater Sydney,Middle Ring,House,570.0,775.0,8317.0,Non Strata
181,Canterbury-Bankstown,562.0,569.0,384.0,2018-06-30,Greater Sydney,Middle Ring,Other,470.0,314.0,5617.0,Strata
182,Canterbury-Bankstown,562.0,569.0,384.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,600.0,287.0,3165.0,Strata
183,Canterbury-Bankstown,562.0,569.0,384.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,430.0,1522.0,14456.0,Strata
184,Cumberland,868.0,900.0,275.0,2018-06-30,Greater Sydney,Middle Ring,House,520.0,569.0,6318.0,Non Strata
185,Cumberland,580.0,573.0,315.0,2018-06-30,Greater Sydney,Middle Ring,Other,450.0,183.0,3336.0,Strata
186,Cumberland,580.0,573.0,315.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,540.0,213.0,2428.0,Strata
187,Cumberland,580.0,573.0,315.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,440.0,1124.0,10801.0,Strata
188,Georges River,1250.0,1351.0,179.0,2018-06-30,Greater Sydney,Middle Ring,House,630.0,288.0,3067.0,Non Strata
